8;0;Уровень языка Python;К какому уровню относится язык программирования Python;;1;0
9;1;Типизация Python;Какую типизацию имеет язык Python?;;1;0
10;2;Неявная типизация;Объясните, что представляет собой неявная типизация?;какие средства в Python существуют, чтобы обойти неявную типизацию, приведите примеры?;1;0
11;3;Динамическая типизация;Объясните, что представляет собой динамическая типизация?;Приведите пример динамической типизации?;1;0
12;4;"Символ ""=""";Что означает символ «=»?;Как проверить на какую ячейку памяти ссылается переменная?;1;0
13;5;Каскадное присваивание;Что такое каскадное присваивание?;;1;0
14;6;Тип данных;Как узнать какой тип данных, на которые ссылается переменная?;напишите несколько переменных, которые ссылаются на объекты разных типов и проверьте их типы?;1;0
15;7;Сильная типизация;Что такое сильная типизация?;вызовите ошибку из-за сильной типизации?;1;0
16;8;Изменение объекта в памяти;Объекты в ячейки памяти можно изменять?;;1;1
17;9;Изменяемые типы данных;Перечислите изменяемые типы данных Python?;напишите примеры изменяемых типов данных и присвойте им переменные;1;1
18;10;Хеш изменяемых типов данных;Какая особенность есть у изменяемых типов данных Python с точки зрения хеширования?;;1;1
19;11;Неизменяемые типы Python;Перечислите неизменяемые типы данных Python?;напишите примеры неизменяемых типов данных и присвойте им переменные;1;1
20;12;Возвращение элементов по одному;Как называются объекты, которые способны возвращать элементы по одному?;перечислите итерируемые объекты;1;1
21;13;Итерируемые типы данных;В какие типы данных можно передавать любой итерируемый объект?;;1;2
22;14;Разные типы данных и арифметика;Можно ли производить арифметические операции для разных типов данных в Python?;напишите примеры арифметических операций объектов одинаковых типов данных.;1;2
23;15;Арифметические операции Python;Перечислите все арифметические операции в Python?;приведите примеры всех арифметических операций в Python?;1;2
24;16;Другие операции Python;Какие операции бывают в Python помимо арифметических?;;1;2
25;17;Приоритет арифметических операций;Какие приоритеты выполнения ВСЕХ АРИФМЕТИЧЕСКИХ операций?;вычислите 27 ** 1/3;1;2
26;18;Приоритет логических операций;Какие приоритеты выполнения ЛОГИЧЕСКИХ операций?;;1;2
27;19;"Разница между ""="" и ""==""";Какая разница между «=» и «==»?;;1;2
28;20;Округление чисел;Как можно округлять числа в Python?;приведите примеры округления чисел;1;3
29;21;Целочисленный тип Python;Что такое целочисленный тип данных?;приведите примеры как можно упростить читаемость большого числа типа int;1;3
30;22;Бинарный вид целого числа;Что такое бинарный вид целого числа?;представите число 124 в бинарном виде?;1;3
31;23;Особенность бинарного вида;Для чего иногда нужно представлять целые числа в бинарном виде?;покажите любую операцию для бинарного вида целого числа?;1;3
32;24;Пустой тип данных Python;Какой тип данных соответствует ничему, пустому типу?;;1;3
33;25;Действительные числа Python;Какой тип данных соответствует действительному числу из математики?;;1;3
34;26;Список Python;Что такое списки в Python?;;1;3
35;27;Упорядоченная коллекция;Что значит упорядоченная коллекция?;;1;4
36;28;Изменение элемента в списке;Что происходит в ячейки памяти, если изменить элементы в списке?;;1;4
37;29;Разные типы данных в списке;Могут ли быть разные типы данных внутри списка?;напишите список, у которого элементы - разные типы данных;1;4
38;30;Ввод данных в Python;Какая есть функция в Python для ввода данных и какой тип данных она возвращает?;;1;4
39;31;Список из введенных данных;Как можно задать список, используя функцию для ввода данных?;;1;4
40;32;Замена значения элемента;Произведите замену значения элемента с индексом 1 на 666 в списке num = [1, 2, 4] ?;;1;4
41;33;Минимальное значение элемента списка;Дан список winter = [-10, -5, -20, -21, -4, -2]. Вывести его элемент, имеющий минимальное значение.;;1;4
42;34;Сумма всех элементов списка;Дан список summa = [7, 8, 10]. Найти сумму всех его элементов.;;1;5
43;35;Срез списка;Дан список lst = [1, 3, 4, 6]. Произвести срез элементов так, чтобы можно было вывести в консоль список [3, 4].;;1;5
44;36;Срез с заменой элементов списка;Дан список marks = [2, 3, 4, 5, 3]. С помощью среза заменить элемент со значением «4» на «хорошо», элемент со значением «5» на «отлично». Должно получиться [2, 3, 'хорошо', 'отлично', 3].;;1;5
45;37;Конкатенация списков;Что такое конкатенация для списков?;приведите пример конкатенация для списков list_1 = ['one', 'two', 'three'] и list_2 = ['one', 2, 3.0]?;1;5
46;38;Строка в список;Как можно преобразовать строку в список и что в этом случае получится?;;1;5
47;39;Добавление элемента в конец списка;Как добавить элемент в конец списка?;;1;6
48;40;Расширение списка;Как можно расширить список без конкатенации?;;1;6
49;41;Вставка элемента под конкретным индексом;Как добавить элемент в список в конкретное место под конкретным индексом?;;1;6
50;42;Удаление элемента списка;Как удалить элемент из списка с конкретным значением элемента?;;1;6
51;43;Нет элемента при удалении списка;Что будет если при удалении элемента его нет в списке?;;1;6
52;44;Удаление элемента списка по индексу;Как удалить элемент из списка по значению его индекса?;;1;6
53;45;Поиск и возврат элементов списка;Как произвести поиск и возврат индекса по значению элемента?;;1;7
54;46;Поиск и возврат одинаковых элементов списка;Как произвести поиск и возврат одинаковых элементов списка?;;1;7
55;47;Сортировка списка;Как производится сортировка элементов списка по возрастанию и убыванию?;;1;7
56;48;Инверсия списка;Как производится инверсия элементов списка?;;1;8
57;49;Копирование списка;Как скопировать список в другую ячейку памяти?;;1;8
58;50;Удаление элементов списка;Как удалить все элементы списка?;;1;8
59;51;Список в строку;Как из списка создать строку?;;1;8
60;52;Вызов элементов списка;Как сделать последовательный вызов всех элементов списка?;;1;9
61;53;Оператор *;Как с помощью оператора * можно объединить 2 списка?;;1;9
62;54;Вложенные списки;Что такое вложенные списки?;приведите пример вложенного списка:;1;9
63;55;Обращение к элементу вложенного списка;Как происходит обращение к элементу вложенного списка?;;1;9
64;56;Кортеж;Что такое кортеж?;дан список кортежей lt = [('Geeks', 2), ('For', 4), ('geek','6')]. Преобразовать его с список ['Geeks', 2, 'For', 4, 'geek', '6'];1;9
65;57;Отличие кортежа и списка;В чем отличие списка от кортежа?;;1;9
66;58;Запись кортежа из 1 элемента;Какая особенность записи кортежей, если мы хотим создать кортеж с одним элементом – числом 1?;;1;10
67;59;Объявление кортежа;Как объявляется кортеж?;;1;10
68;60;Распаковка кортежа;Как производится распаковка кортежа;;1;10
69;61;Число элементов кортежа;Как узнать число элементов в кортеже?;;1;10
